,session_id,cell_id,n_cells,is_drn,is_dsn
0,663876406,673447355,68,False,True
1,663876406,673449024,68,False,False
2,663876406,673447336,68,False,False
3,663876406,673447374,68,False,False
4,663876406,673449073,68,False,False
5,663876406,673447581,68,False,False
6,663876406,673447492,68,False,False
7,663876406,673448213,68,False,False
8,663876406,673448222,68,False,False
9,663876406,673447263,68,False,True
10,663876406,673448002,68,False,False
11,663876406,673448016,68,False,False
12,663876406,673447224,68,False,False
13,663876406,673449040,68,False,False
14,663876406,673448837,68,False,False
15,663876406,673448926,68,False,False
16,663876406,673448200,68,False,True
17,663876406,673448265,68,False,False
18,663876406,673448277,68,False,False
19,663876406,673448144,68,False,False
20,663876406,673448239,68,False,False
21,663876406,673449241,68,False,False
22,663876406,673447830,68,False,False
23,663876406,673448563,68,False,False
24,663876406,673447539,68,False,False
25,663876406,673448642,68,False,False
26,663876406,673447887,68,False,False
27,663876406,673449503,68,False,True
28,663876406,673448355,68,False,False
29,663876406,673448956,68,False,False
30,663876406,673448600,68,False,False
31,663876406,673447624,68,False,False
32,663876406,673448977,68,False,True
33,663876406,673447651,68,False,False
34,663876406,673449187,68,False,False
35,663876406,673448887,68,False,True
36,663876406,673448897,68,False,False
37,663876406,673448905,68,False,False
38,663876406,673448300,68,False,False
39,663876406,673449173,68,False,False
40,663876406,673448319,68,False,False
41,663876406,673447304,68,False,False
42,663876406,673447957,68,False,False
43,663876406,673447426,68,False,False
44,663876406,673448049,68,False,False
45,663876406,673448687,68,False,False
46,663876406,673448717,68,False,False
47,663876406,673448731,68,False,True
48,663876406,673448288,68,False,False
49,663876406,673448068,68,False,False
50,663876406,673447272,68,False,False
51,663876406,673448781,68,False,False
52,663876406,673448083,68,False,False
53,663876406,673447293,68,False,False
54,663876406,673447179,68,False,False
55,663876406,673447165,68,False,True
56,663876406,673447135,68,False,False
57,663876406,673447100,68,False,False
58,663876406,673448098,68,False,False
59,663876406,673448380,68,False,False
60,663876406,673449123,68,False,False
61,663876406,673448392,68,False,False
62,663876406,673448528,68,True,True
63,663876406,673449152,68,False,False
64,663876406,673449162,68,False,False
65,663876406,673448913,68,False,False
66,663876406,673448423,68,False,False
67,663876406,673449142,68,False,False
68,682051855,697194447,102,False,False
69,682051855,697194925,102,False,False
