,session_id,cell_id,n_cells,drn_accum,dsn_accum,is_drn,is_dsn
0,693163510,693314922,27,12,31,False,False
1,693163510,693314920,27,64,148,False,False
2,693163510,693314918,27,311,682,False,False
3,693163510,693314916,27,18,865,False,False
4,693163510,693314914,27,512,966,False,True
5,693163510,693314912,27,682,928,False,False
6,693163510,693314910,27,137,321,False,False
7,693163510,693314908,27,0,1000,False,True
8,693163510,693314906,27,15,740,False,False
9,693163510,693314904,27,485,990,False,True
10,693163510,693314902,27,978,1000,True,True
11,693163510,693314900,27,448,940,False,False
12,693163510,693314898,27,133,278,False,False
13,693163510,693314896,27,791,1000,False,True
14,693163510,693314894,27,8,844,False,False
15,693163510,693314892,27,846,971,False,True
16,693163510,693314890,27,989,1000,True,True
17,693163510,693314888,27,0,1000,False,True
18,693163510,693314886,27,779,947,False,False
19,693163510,693314884,27,54,163,False,False
20,693163510,693314882,27,73,743,False,False
21,693163510,693314880,27,37,489,False,False
22,693163510,693314878,27,610,638,False,False
23,693163510,693314876,27,672,865,False,False
24,693163510,693314874,27,1000,1000,True,True
25,693163510,693314872,27,915,964,False,True
26,693163510,693314870,27,9,897,False,False
27,687293842,687546393,32,49,235,False,False
28,687293842,687546389,32,141,897,False,False
29,687293842,687546385,32,203,628,False,False
30,687293842,687546382,32,842,891,False,False
31,687293842,687546379,32,1,995,False,True
32,687293842,687546375,32,19,1000,False,True
33,687293842,687546371,32,323,833,False,False
34,687293842,687546366,32,312,451,False,False
35,687293842,687546360,32,490,548,False,False
36,687293842,687546356,32,780,986,False,True
37,687293842,687546351,32,213,999,False,True
38,687293842,687546346,32,154,620,False,False
39,687293842,687546342,32,277,851,False,False
40,687293842,687546338,32,485,485,False,False
41,687293842,687546333,32,289,661,False,False
42,687293842,687546327,32,580,1000,False,True
43,687293842,687546324,32,356,793,False,False
44,687293842,687546319,32,881,1000,False,True
45,687293842,687546315,32,10,803,False,False
46,687293842,687546312,32,97,200,False,False
47,687293842,687546308,32,7,766,False,False
48,687293842,687546304,32,9,739,False,False
49,687293842,687546301,32,541,1000,False,True
50,687293842,687546298,32,41,999,False,True
51,687293842,687546296,32,287,369,False,False
52,687293842,687546294,32,6,785,False,False
53,687293842,687546292,32,219,941,False,False
54,687293842,687546290,32,292,459,False,False
55,687293842,687546288,32,95,351,False,False
56,687293842,687546286,32,80,569,False,False
57,687293842,687546284,32,68,801,False,False
58,687293842,687546282,32,280,563,False,False
59,686708257,686936559,16,97,388,False,False
60,686708257,686936557,16,215,482,False,False
61,686708257,686936555,16,592,1000,False,True
62,686708257,686936553,16,47,707,False,False
63,686708257,686936551,16,45,951,False,True
64,686708257,686936549,16,1000,1000,True,True
65,686708257,686936547,16,114,159,False,False
66,686708257,686936545,16,994,998,True,True
67,686708257,686936543,16,129,345,False,False
68,686708257,686936541,16,496,519,False,False
69,686708257,686936539,16,959,998,True,True
70,686708257,686936537,16,648,657,False,False
71,686708257,686936535,16,57,422,False,False
72,686708257,686936533,16,585,703,False,False
73,686708257,686936531,16,995,995,True,True
74,686708257,686936529,16,297,474,False,False
75,691741646,691789531,44,12,321,False,False
76,691741646,691789529,44,0,265,False,False
77,691741646,691789527,44,807,1000,False,True
78,691741646,691789525,44,18,437,False,False
79,691741646,691789523,44,56,900,False,False
80,691741646,691789521,44,87,998,False,True
81,691741646,691789519,44,681,937,False,False
82,691741646,691789517,44,45,276,False,False
83,691741646,691789515,44,619,1000,False,True
84,691741646,691789513,44,120,799,False,False
85,691741646,691789511,44,988,1000,True,True
86,691741646,691789509,44,6,39,False,False
87,691741646,691789507,44,24,263,False,False
88,691741646,691789505,44,40,55,False,False
89,691741646,691789503,44,86,760,False,False
90,691741646,691789501,44,173,429,False,False
91,691741646,691789499,44,181,183,False,False
92,691741646,691789497,44,1,986,False,True
93,691741646,691789495,44,113,246,False,False
94,691741646,691789493,44,0,972,False,True
95,691741646,691789491,44,70,156,False,False
96,691741646,691789489,44,850,917,False,False
97,691741646,691789487,44,15,1000,False,True
98,691741646,691789485,44,282,590,False,False
99,691741646,691789483,44,305,459,False,False
100,691741646,691789481,44,69,999,False,True
101,691741646,691789479,44,0,0,False,False
102,691741646,691789477,44,217,903,False,False
103,691741646,691789475,44,1,1000,False,True
104,691741646,691789473,44,35,132,False,False
105,691741646,691789471,44,51,428,False,False
106,691741646,691789469,44,420,700,False,False
107,691741646,691789467,44,666,929,False,False
108,691741646,691789465,44,109,440,False,False
109,691741646,691789463,44,991,1000,True,True
110,691741646,691789461,44,208,555,False,False
111,691741646,691789459,44,554,1000,False,True
112,691741646,691789457,44,704,745,False,False
113,691741646,691789455,44,0,1000,False,True
114,691741646,691789453,44,93,313,False,False
115,691741646,691789451,44,245,909,False,False
116,691741646,691789449,44,0,991,False,True
117,691741646,691789447,44,145,551,False,False
118,691741646,691789445,44,86,413,False,False
119,681698752,684670400,80,117,676,False,False
120,681698752,684670398,80,251,1000,False,True
121,681698752,684670396,80,458,552,False,False
122,681698752,684670394,80,537,758,False,False
123,681698752,684670392,80,644,995,False,True
124,681698752,684670390,80,633,633,False,False
125,681698752,684670388,80,93,462,False,False
126,681698752,684670386,80,639,829,False,False
127,681698752,684670384,80,976,1000,True,True
128,681698752,684670382,80,998,998,True,True
129,681698752,684670380,80,15,982,False,True
130,681698752,684670378,80,4,1000,False,True
131,681698752,684670376,80,115,487,False,False
132,681698752,684670374,80,713,821,False,False
133,681698752,684670372,80,665,665,False,False
134,681698752,684670370,80,72,800,False,False
