,session_id,cell_id,n_cells,drn_accum,dsn_accum,is_drn,is_dsn
0,693163510,693314922,27,1,3,False,False
1,693163510,693314920,27,36,75,False,False
2,693163510,693314918,27,244,553,False,False
3,693163510,693314916,27,27,783,False,False
4,693163510,693314914,27,505,911,False,False
5,693163510,693314912,27,639,892,False,False
6,693163510,693314910,27,106,217,False,False
7,693163510,693314908,27,0,1000,False,True
8,693163510,693314906,27,7,595,False,False
9,693163510,693314904,27,517,979,False,True
10,693163510,693314902,27,986,1000,True,True
11,693163510,693314900,27,448,928,False,False
12,693163510,693314898,27,134,244,False,False
13,693163510,693314896,27,783,1000,False,True
14,693163510,693314894,27,4,754,False,False
15,693163510,693314892,27,842,951,False,True
16,693163510,693314890,27,981,998,True,True
17,693163510,693314888,27,0,1000,False,True
18,693163510,693314886,27,739,916,False,False
19,693163510,693314884,27,41,132,False,False
20,693163510,693314882,27,81,668,False,False
21,693163510,693314880,27,30,369,False,False
22,693163510,693314878,27,470,493,False,False
23,693163510,693314876,27,562,736,False,False
24,693163510,693314874,27,995,998,True,True
25,693163510,693314872,27,889,936,False,False
26,693163510,693314870,27,10,875,False,False
27,687293842,687546393,32,35,164,False,False
28,687293842,687546389,32,116,844,False,False
29,687293842,687546385,32,134,477,False,False
30,687293842,687546382,32,786,820,False,False
31,687293842,687546379,32,0,989,False,True
32,687293842,687546375,32,28,998,False,True
33,687293842,687546371,32,276,767,False,False
34,687293842,687546366,32,271,381,False,False
35,687293842,687546360,32,426,466,False,False
36,687293842,687546356,32,811,987,False,True
37,687293842,687546351,32,200,999,False,True
38,687293842,687546346,32,152,546,False,False
39,687293842,687546342,32,251,819,False,False
40,687293842,687546338,32,429,429,False,False
41,687293842,687546333,32,211,514,False,False
42,687293842,687546327,32,554,999,False,True
43,687293842,687546324,32,345,717,False,False
44,687293842,687546319,32,857,1000,False,True
45,687293842,687546315,32,4,671,False,False
46,687293842,687546312,32,84,167,False,False
47,687293842,687546308,32,5,643,False,False
48,687293842,687546304,32,7,563,False,False
49,687293842,687546301,32,524,1000,False,True
50,687293842,687546298,32,43,995,False,True
51,687293842,687546296,32,235,295,False,False
52,687293842,687546294,32,5,712,False,False
53,687293842,687546292,32,204,941,False,False
54,687293842,687546290,32,258,397,False,False
55,687293842,687546288,32,81,260,False,False
56,687293842,687546286,32,64,514,False,False
57,687293842,687546284,32,100,788,False,False
58,687293842,687546282,32,232,459,False,False
59,686708257,686936559,16,71,302,False,False
60,686708257,686936557,16,166,333,False,False
61,686708257,686936555,16,597,1000,False,True
62,686708257,686936553,16,29,463,False,False
63,686708257,686936551,16,37,903,False,False
64,686708257,686936549,16,1000,1000,True,True
65,686708257,686936547,16,47,65,False,False
66,686708257,686936545,16,996,997,True,True
67,686708257,686936543,16,74,193,False,False
68,686708257,686936541,16,367,386,False,False
69,686708257,686936539,16,953,995,True,True
70,686708257,686936537,16,523,533,False,False
71,686708257,686936535,16,44,320,False,False
72,686708257,686936533,16,559,694,False,False
73,686708257,686936531,16,994,995,True,True
74,686708257,686936529,16,154,283,False,False
75,691741646,691789531,44,5,168,False,False
76,691741646,691789529,44,0,144,False,False
77,691741646,691789527,44,801,1000,False,True
78,691741646,691789525,44,5,297,False,False
79,691741646,691789523,44,61,814,False,False
80,691741646,691789521,44,94,998,False,True
81,691741646,691789519,44,618,873,False,False
82,691741646,691789517,44,24,176,False,False
83,691741646,691789515,44,607,1000,False,True
84,691741646,691789513,44,115,691,False,False
85,691741646,691789511,44,992,1000,True,True
86,691741646,691789509,44,1,7,False,False
87,691741646,691789507,44,24,164,False,False
88,691741646,691789505,44,12,19,False,False
89,691741646,691789503,44,74,623,False,False
90,691741646,691789501,44,95,260,False,False
91,691741646,691789499,44,114,116,False,False
92,691741646,691789497,44,0,960,False,True
93,691741646,691789495,44,68,150,False,False
94,691741646,691789493,44,0,922,False,False
95,691741646,691789491,44,51,132,False,False
96,691741646,691789489,44,798,859,False,False
97,691741646,691789487,44,16,1000,False,True
98,691741646,691789485,44,204,406,False,False
99,691741646,691789483,44,219,351,False,False
100,691741646,691789481,44,60,999,False,True
101,691741646,691789479,44,0,0,False,False
102,691741646,691789477,44,233,856,False,False
103,691741646,691789475,44,4,999,False,True
104,691741646,691789473,44,16,71,False,False
105,691741646,691789471,44,44,323,False,False
106,691741646,691789469,44,360,563,False,False
107,691741646,691789467,44,602,872,False,False
108,691741646,691789465,44,111,395,False,False
109,691741646,691789463,44,989,1000,True,True
110,691741646,691789461,44,183,465,False,False
111,691741646,691789459,44,575,998,False,True
112,691741646,691789457,44,684,730,False,False
113,691741646,691789455,44,1,999,False,True
114,691741646,691789453,44,67,235,False,False
115,691741646,691789451,44,211,829,False,False
116,691741646,691789449,44,1,987,False,True
117,691741646,691789447,44,105,442,False,False
118,691741646,691789445,44,58,321,False,False
119,681698752,684670400,80,99,644,False,False
120,681698752,684670398,80,243,996,False,True
121,681698752,684670396,80,343,408,False,False
122,681698752,684670394,80,473,670,False,False
123,681698752,684670392,80,649,994,False,True
124,681698752,684670390,80,548,550,False,False
125,681698752,684670388,80,62,367,False,False
126,681698752,684670386,80,583,791,False,False
127,681698752,684670384,80,964,1000,True,True
128,681698752,684670382,80,996,996,True,True
129,681698752,684670380,80,14,979,False,True
